城市,岗位,薪酬,技能,工作经验,学历,职位类型,人数,公司名称,公司类型,公司规模,公司行业,地址,职位更新日期
北京,人工智能开发工程师,1.2-1.5万·13薪,"['深度学习', '机器学习']",3-5年,本科,全职,1,北京信诺时代,国企,100-299人,IT服务,北京·海淀·花园路,2025/4/1
北京,人工智能产业应用工程师,1.5-30万,,经验不限,哈哈,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能算法工程师,2-3.5万,,经验不限,硕士,全职,30,北京龙双利达知识产权代理有限公司,民营,100-299人,专利/商标/知识产权,北京·海淀,2025/4/1
北京,AI人工智能算法工程师,2-4万,"['深度学习', '机器学习', '大模型算法']",经验不限,硕士,全职,1,康龙化成,上市公司,10000人以上,医药制造,北京·大兴·博兴,2025/4/1
北京,人工智能研究员2025SBZ01,2-2.5万,['人工智能'],1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,城市合伙人（AI人工智能）,5-10万,,经验不限,学历不限,全职,10,郑州中润人工智能科技有限公司,合资,1000-9999人,人工智能,北京·海淀,2025/3/5
北京,数据分析师（大厂项目，稳定待遇好）,1-1.6万,,经验不限,本科,全职,5,首聘(北京)科技有限公司,民营,1000-9999人,企业服务,北京·海淀·马连洼,2025/3/19
北京,人工智能技术研究员,1-1.5万,,3-5年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,数据分析师,1.1-1.5万,"['报表开发', '数据挖掘']",3-5年,本科,全职,2,北京经纬中天信息技术有限公司,民营,100-299人,计算机软件,北京·海淀,2025/2/25
北京,主数据工程师（人工智能部）,面议,['数据治理'],3-5年,本科,全职,2,国家电投集团数字科技有限公司,国企,500-999人,IT服务,北京·昌平·北七家,2025/1/2
北京,人工智能算法与评测研究员25SLH10,1.7-1.9万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能产品经理,2.5-5万,['大模型'],5-10年,本科,全职,3,苏州人瑞普惠人力资源服务有限公司,上市公司,500-999人,互联网,北京·海淀·上地,2025/3/25
北京,数据处理技术员,7000-10000元·13薪,"['数据治理', '数据挖掘', 'Python']",经验不限,大专,全职,3,江苏盛羽达生物科技有限公司,其它,100-299人,生物工程,北京·海淀·西北旺,2024/12/30
北京,人工智能软件算法研究员,1.5-2万,"['深度学习', '机器学习']",1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,数据治理工程师（人工智能部）,面议,['数据治理'],3-5年,本科,全职,2,国家电投集团数字科技有限公司,国企,500-999人,IT服务,北京·昌平·北七家,2025/1/2
北京,人工智能软硬件开发工程师,1.5-2万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能行业研究岗,1-2万,,3-5年,硕士,全职,2,工信(北京)产业发展研究院有限公司,国企,20-99人,科学技术推广,北京·海淀·万寿路,2025/3/5
北京,数据分析岗,1-2万,['Python'],3-5年,本科,全职,1,中国旅游集团旅行服务有限公司,国企,500-999人,旅游服务,北京·东城·东华门,2025/1/21
北京,数据分析师,7000-11000元,"['数据挖掘', '数据治理', 'Sql', 'Python', 'R语言']",经验不限,本科,全职,10,首聘(北京)科技有限公司,民营,1000-9999人,企业服务,北京·海淀·马连洼,2025/3/19
北京,IT技术支持（桌面运维）+人工智能上市企业,1-1.2万,['桌面运维'],3-5年,本科,全职,1,外企德科人力资源服务安徽有限公司,国企,100-299人,咨询服务,北京·海淀·上地,2025/3/27
北京,ai人工智能软件实施,1-1.5万,['软件实施'],1-3年,本科,全职,1,北京中天瑞合科技有限公司,民营,100-299人,IT服务,北京·海淀,2025/4/1
北京,数据分析工程师（深度学习 机器学习）,1.3-2.5万,"['深度学习', '机器学习']",经验不限,本科,全职,1,科锐尔人力资源服务(苏州)有限公司,上市公司,1000-9999人,咨询服务,北京·海淀·马连洼,2025/3/31
北京,投资合伙人,5-10万,,经验不限,学历不限,全职,6,郑州中润人工智能科技有限公司,合资,1000-9999人,人工智能,北京·海淀,2025/2/8
北京,标准化领域人工智能应用后端开发岗,1.2-1.5万,"['Java', 'PostgreSQL', 'MySQL']",经验不限,本科,全职,3,中国标准化研究院,事业单位,500-999人,学术/科研,北京·海淀·北太平庄,2025/3/13
北京,人事专员（招聘方向）,8000-15000元·13薪,"['社会招聘', '销售岗招聘', '职能岗招聘', '技术岗招聘']",1-3年,本科,全职,1,北京因时机器人科技有限公司,民营,100-299人,通用设备制造,北京·石景山·古城,2025/3/24
北京,城市合伙人（AI人工智能）,5-10万,,经验不限,学历不限,全职,10,郑州中润人工智能科技有限公司,合资,1000-9999人,人工智能,北京·朝阳·建外,2025/3/5
北京,AI算法专家,5-9万·14薪,"['自然语言处理', 'Python', '大模型算法', '教育行业']",经验不限,本科,全职,1,厦门贤士达信息咨询有限公司,民营,20-99人,人力资源服务,北京·海淀·上地,2025/3/21
北京,ai人工智能算法工程师可应届可小白,8000-15000元,"['机器学习', '图像算法', '语音识别']",无经验,本科,全职,1,赤峰谛禾汽车科技有限公司,其它,500-999人,专业技术服务,北京·海淀·中关村,2025/3/29
北京,人工智能产业应用研究员,1.5-2万,,3-5年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,数据分析师,1-1.5万·13薪,"['数据治理', '数据挖掘', 'Python', 'Power BI', 'SQL', 'BI工具', '数据运营']",1-3年,本科,全职,1,北京中成康富科技股份有限公司,股份制企业,100-299人,医疗设备/器械,北京·西城·广安门内,2025/3/10
北京,人工智能应用产品经理,1.9-2.3万,['智能机器人'],1-3年,本科,全职,1,国网信通亿力科技有限责任公司,国企,1000-9999人,计算机软件,北京·丰台·右安门,2025/1/3
北京,跨境网络案件人工智能大数据分析师,1.1-2.2万·14薪,,经验不限,学历不限,全职,1,国开青旅集团有限公司,股份制企业,100-299人,房地产开发,北京·朝阳,2024/12/22
北京,AI 研发工程师,1-1.5万,,1-3年,本科,全职,1,中科软科技股份有限公司,股份制企业,1000-9999人,计算机软件,北京·朝阳·奥运村,2025/3/31
北京,Python软件工程师(大语言模型部署),1.5-3万,,3-5年,本科,全职,1,数界(深圳)科技有限公司,合资,20-99人,人工智能,北京·海淀·花园路,2025/3/29
北京,人工智能分析及大模型研究员,1.2-1.6万,,经验不限,本科,全职,2,北京冶自欧博科技发展有限公司,股份制企业,100-299人,工业自动化,北京·丰台·丰台街道,2025/2/21
北京,数据分析师+双休,7000-12000元·13薪,,经验不限,本科,全职,10,安徽控能信息科技有限公司,民营,100-299人,仪器仪表制造,北京·东城·北新桥,2025/3/5
北京,nlp算法工程师,1.5-2万,"['文本生成', 'LANGCHAIN', 'LLAMAINDEX', '对话系统', 'Python', '算法工程化']",1-3年,本科,全职,1,中科软科技股份有限公司,股份制企业,1000-9999人,计算机软件,北京·昌平·北七家,2025/1/22
北京,人工智能技术产业分析及生态运营岗,1.5-2万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能研究员,1.4-2万,['金融机构'],1-3年,硕士,全职,1,国海证券,上市公司,1000-9999人,证券/期货,北京·海淀·甘家口,2025/3/13
北京,python爬虫工程师,1-1.2万,"['Python', 'Java', '数据采集', '数据清洗', '爬虫开发']",1年以下,本科,全职,1,北京国科锐观科技有限公司,民营,20-99人,人工智能,北京·海淀·海淀街道,2024/8/16
北京,数据分析师,1.2-1.8万·15薪,"['数据分析', '数据统计']",经验不限,本科,全职,1,明亚保险经纪股份有限公司,股份制企业,10000人以上,保险,北京·朝阳·朝外,2025/3/22
北京,人工智能科研开发工程师,1-1.5万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能实施顾问,3-5.5万,,3-5年,本科,全职,3,北京神舟航天软件技术股份有限公司,国企,1000-9999人,计算机软件,北京·海淀,2025/3/28
北京,AI开发工程师,8000-16000元,,经验不限,本科,全职,5,北京昌佳泵业有限公司,民营,100-299人,通用设备制造,北京·海淀·紫竹院,2025/3/14
北京,AI应用工程师,1.5-2万,"['大模型算法', 'Python', 'DIFY', 'COZE', 'RAG', 'AI AGENT', 'RAGFLOW']",3-5年,本科,全职,1,北京点点智联科技有限公司,其它,20-99人,IT服务,北京·丰台·太平桥,2025/3/31
北京,人工智能软硬件测试工程师,1.5-2万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能产品经理,1.5-2.5万,,3-5年,本科,全职,1,中科信息安全共性技术国家工程研究中心有限公司,股份制企业,100-299人,计算机硬件,北京·海淀·海淀街道,2025/4/1
北京,数据标注项目经理（售前）,1.2-1.8万,,1-3年,大专,全职,1,数据堂,民营,300-499人,人工智能,北京,2025/3/26
北京,AI 工程师,1.1-1.6万·14薪,['AI机器人训练'],3-5年,本科,全职,1,北京牡丹电子集团有限责任公司,国企,500-999人,计算机软件,北京·海淀·花园路,2024/8/30
北京,人工智能政策研究专家,2-2.5万·13薪,['政府机构经验'],5-10年,本科,全职,1,北京信诺时代,国企,100-299人,IT服务,北京·海淀·花园路,2025/3/26
北京,AI工程师,面议,,3-5年,硕士,全职,2,国网信息通信产业集团有限公司,国企,1000-9999人,通信/网络设备,北京·昌平·小汤山,2025/3/22
北京,算法工程师,1.5-2.2万,"['机器学习', '图像算法', '机器视觉', '知识图谱', 'Python', 'C++', 'C#']",3-5年,本科,全职,1,北京汇丰隆经济技术开发有限公司,民营,20-99人,仪器仪表制造,北京·海淀·上地,2025/3/21
北京,人工智能全栈工程师,1.2-2.4万,,3-5年,本科,全职,2,北京国网信通埃森哲信息技术有限公司,国企,300-499人,咨询服务,北京·西城·椿树,2025/4/1
北京,人工智能技术助理（9k+双休+五险一金）,9000-14000元·14薪,,经验不限,本科,全职,8,福州晋安区大源电子商务有限公司,民营,20-99人,电子商务,北京·通州·台湖,2025/3/26
北京,产品经理,1-2万,,经验不限,本科,全职,2,航天宏图信息技术股份有限公司,上市公司,1000-9999人,计算机软件,北京·海淀,2025/3/7
北京,遥感分析工程师,1.2-1.3万,"['数据治理', '数据挖掘', '数据建模', 'Sql', 'Python']",3-5年,本科,全职,1,哈尔滨融易汇智科技有限公司,民营,20-99人,计算机软件,北京·西城·展览路,2025/2/20
北京,AI产品经理（人工智能部）,面议,,3-5年,本科,全职,1,国家电投集团数字科技有限公司,国企,500-999人,IT服务,北京·昌平·北七家,2025/2/27
北京,人工智能开发程序员,8000-14000元,,1-3年,大专,全职,1,北京松岛菱电电力工程有限公司,合资,300-499人,电气机械/电力设备,北京·通州·北苑,2025/3/6
北京,自然语言处理,1.4-2.1万·14薪,"['PyTorch', 'C++']",1-3年,本科,全职,1,北京弈云网络科技有限公司,民营,100-299人,电子商务,北京·天通苑北,2025/3/7
北京,AI应用工程师,1-2万·14薪,"['机器学习', '深度学习', 'Python']",1-3年,本科,全职,1,永州界牌协合风力发电有限公司北京咨询服务分公司,上市公司,10000人以上,新能源,北京·海淀·甘家口,2025/3/31
北京,人工智能研发工程师,2.5-5万,"['大模型算法', '深度学习', '机器学习']",1-3年,本科,全职,8,清雁科技(北京)有限公司,民营,20-99人,计算机软件,北京·海淀·学院路,2025/3/27
北京,人工智能AI培训讲师,5000-10000元·13薪,"['课程策划', '课程教授', '项目实训']",3-5年,本科,全职,1,北京中天智星人工智能科技有限公司,民营,20-99人,人工智能,北京·朝阳·呼家楼,2025/3/29
北京,数据分析师,7000-11000元,,经验不限,本科,全职,20,首聘(北京)科技有限公司,民营,1000-9999人,企业服务,北京·朝阳·酒仙桥,2025/3/19
北京,AI Research,2.5-5万,,经验不限,硕士,全职,1,北京华骏律师事务所,律师事务所,20-99人,法律服务,北京·朝阳·双井,2025/3/31
北京,人工智能工程师/机器学习工程师/深度学习工程师,8000-15000元,"['机器视觉', '自然语言处理', '搜索/推荐算法', '聚类算法', '降维算法', '决策树', 'TensorFlow', 'PyTorch', 'Keras', 'Python']",经验不限,本科,全职,1,北京驰远科技有限公司,民营,20-99人,计算机软件,北京·海淀·北下关,2025/3/3
北京,人工智能专家-个贷不良资产方向,3-4万,['自然语言处理'],1-3年,本科,全职,3,盛达集团,民营,1000-9999人,房地产开发,北京·丰台·成寿寺,2025/2/24
北京,机器学习应用工程师,1.4-2.8万·13薪,"['Java', 'Python', '深度学习算法', 'TensorFlow', 'PyTorch', '数据开发', '数据分析', '机器视觉', '时序数据机器学习']",3-5年,本科,全职,1,ICONICS,代表处,20-99人,计算机软件,北京·顺义·空港,2025/3/31
北京,AI工程师,2.5-5万·13薪,"['视频算法', 'Python', '视觉图像算法']",3-5年,本科,全职,1,万佳信,民营,100-299人,物联网,北京·海淀·西三旗,2024/5/30
北京,AI训练工程师,9000-15000元,"['深度学习', '机器学习', '自然语音处理', '项目实训', 'linux', 'Python']",5-10年,本科,全职,2,中电金信软件有限公司,国企,10000人以上,计算机软件,北京·海淀·紫竹院,2025/3/18
北京,人工智能技术（自然语言）,2-4万,"['文本分析', 'PyTorch', 'RNN', 'GAN', 'Python', 'BERT', 'TensorFlow', 'GPT', '神经网络', '机器学习']",3-5年,本科,全职,3,北京华心维联网络科技有限公司,民营,500-999人,互联网,北京·朝阳·高碑店,2024/7/27
北京,大模型应用开发,1-2万,"['爬虫', '数据处理', '计算机模型', '机器学习', '大模型算法', '多模态算法', 'Python']",经验不限,本科,全职,1,苏州安硕数科数据技术有限公司,上市公司,100-299人,IT服务,北京·昌平,2025/3/19
北京,大模型应用开发工程师,2.5-5万,"['数据建模', '大数据开发', '应用部署', 'LLM模型', 'AGENT', 'Python']",3-5年,本科,全职,1,北京信普达系统工程有限公司,民营,100-299人,计算机软件,北京·海淀·上地,2025/3/18
北京,AI训练师*--中文方向,1.1-1.6万,"['语音算法', '机器学习']",经验不限,本科,全职,28,首聘(北京)科技有限公司,民营,1000-9999人,企业服务,北京·海淀·清河,2025/3/30
北京,信息中心 人工智能岗,2-2.1万,,3-5年,本科,全职,1,中国社会科学出版社,国企,100-299人,新闻/出版,北京·西城·什刹海,2025/3/14
北京,智能体研发工程师,1.5-2.5万,"['大模型算法', 'Python', '机器视觉', '自然语言处理', '搜索/推荐算法', '机器学习', '多模态算法', 'PyTorch', 'TensorFlow', 'Keras']",经验不限,本科,全职,1,志晟信息,上市公司,500-999人,IT服务,北京·海淀·北下关,2025/2/14
北京,人工智能AI培训师,5000-10000元,"['课程策划', '课程教授', '项目实训', '人工智能', 'AI', 'AI通识']",3-5年,本科,兼职/临时,1,北京中天智星人工智能科技有限公司,民营,20-99人,人工智能,北京·朝阳·呼家楼,2025/3/30
北京,【Deepseek人工智能软件赛道+双休收入高】,1.3-2.6万,"['面销/陌拜', '区域销售']",1年以下,大专,全职,10,探迹科技,民营,1000-9999人,互联网,北京·朝阳,2025/3/18
北京,人工智能/机器学习专家,3-6万,"['机器视觉', '图像算法', '自然语言处理', '聚类算法', '降维算法', '分类回归']",经验不限,本科,全职,1,四环医药控股集团,上市公司,1000-9999人,医药制造,北京·朝阳·八里庄,2025/3/6
北京,AI大模型工程师,1.5-2万,"['自然语言处理', 'Python', '英文读写']",3-5年,本科,全职,1,北京中科数睿科技有限公司,民营,20-99人,云计算/大数据,北京·海淀·马连洼,2025/3/31
北京,昇腾FAE(AI),1.1-2.2万,"['深度学习', '机器学习', '图像算法', 'Python', 'C++']",3-5年,本科,全职,3,嘉环科技股份有限公司,民营,10000人以上,通信/网络设备,北京·朝阳·朝外,2025/3/7
北京,人工智能+能源研究员,1.5-2万,,3-5年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能岗,3-4万,,5-10年,本科,全职,1,某国有银行,港澳台公司,500-999人,互联网,北京·朝阳·八里庄,2025/4/1
北京,人工智能技术应用岗,2.5-3.5万,,1-3年,硕士,全职,1,新时代健康产业（集团）有限公司,国企,1000-9999人,快速消费品,北京·昌平·史各庄,2025/2/26
北京,nlp对话机器人,1.5-3万,"['C#', '翻译系统', '机器翻译', 'C++', 'Python']",1-3年,学历不限,全职,3,国科慧信(北京)信息技术有限公司,民营,20人以下,互联网,北京·丰台·东铁匠营,2025/3/6
北京,大模型算法工程师,4-6万·14薪,"['多模态算法', '大模型算法', 'C++', 'Python', 'LLM']",5-10年,本科,全职,10,比亚迪股份有限公司,民营,10000人以上,汽车研发/制造,北京·海淀·清河,2025/3/4
北京,人工智能算法测试工程师r,1.3-2.3万,"['TensorFlow', 'PyTorch', 'Python', 'AI']",1-3年,本科,全职,6,中国人民解放军32806部队,国企,100-299人,政府/公共事业,北京·海淀·青龙桥,2025/3/13
北京,科学研究（人工智能开发工程师）,1.3-2.5万,,经验不限,本科,全职,3,北京(海淀)大数据先进技术研究院(北京大数据先进技术研究院),事业单位,100-299人,云计算/大数据,北京·海淀·四季青,2025/1/20
北京,大模型和知识库开发工程师,1.1-1.8万,['Python'],1-3年,本科,全职,1,北京四方上行软件技术有限公司,民营,20-99人,计算机软件,北京·顺义·空港,2025/3/15
北京,项目经理（人工智能）,1.5-2.2万,"['AI项目', 'PMP', '电子政务']",3-5年,本科,全职,2,北京彩智科技有限公司,民营,100-299人,人工智能,北京·海淀·中关村,2025/3/28
北京,人工智能治理研究员25SZSCQ01,1.5-2万,,经验不限,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·西城·德胜,2025/4/1
北京,人工智能应用研发,2-4万,['深度学习、AI产品经理'],5-10年,本科,全职,1,北京安盛祥元科技发展有限公司,民营,20-99人,计算机软件,北京·朝阳·东湖,2025/3/31
北京,人工智能应用研发工程师,2-3万,,无经验,硕士,全职,1,中国航天电子技术研究院,国企,10000人以上,船舶/航空/航天/火车制造,北京·海淀,2025/2/15
北京,人工智能高级算法研发工程师,3.5-6万·13薪,,5-10年,本科,全职,3,北京神舟航天软件技术股份有限公司,国企,1000-9999人,计算机软件,北京·海淀,2025/3/28
北京,人工智能与数字资产管理岗,1.5-3万,,经验不限,硕士,全职,2,中铁建资产管理有限公司,国企,20-99人,投资/融资,北京·石景山·古城,2025/3/13
北京,机器学习算法工程师,1.5-3万,"['机器学习', '人工智能', '算法', 'Python']",经验不限,本科,全职,1,微智娱(北京)科技有限公司,民营,20-99人,互联网,北京·大屯,2025/2/17
北京,【国企】人工智能/大模型方向-技术专家-博士,4-7万·14薪,"['深度学习', '机器学习', '大模型算法', '自然语言处理', '44以下', '油气', '能源']",3-5年,博士,全职,1,锐仕方达人才科技集团有限公司,股份制企业,1000-9999人,人力资源服务,北京·昌平,2025/3/5
北京,人工智能开发平台研发工程师,3-5.5万·13薪,,5-10年,本科,全职,1,北京神舟航天软件技术股份有限公司,国企,1000-9999人,计算机软件,北京·海淀,2025/3/28
北京,投资合伙人,5-10万,,经验不限,学历不限,全职,6,郑州中润人工智能科技有限公司,合资,1000-9999人,人工智能,北京·朝阳·建外,2025/2/8
北京,人工智能硬件研究员,1.5-2万,['人工智能'],1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能技术支撑岗位（驻国企，入职五险一金）,1.1-1.3万,"['软件产品', '智能产品']",3-5年,本科,全职,1,山东华科信息技术有限公司,民营,300-499人,IT服务,北京·西城·椿树,2024/12/30
北京,人工智能业务专家,1.5-3万,['电力'],3-5年,本科,全职,1,福建罗德数字科技有限公司,民营,1000-9999人,专业技术服务,北京·丰台·右安门,2025/3/24
北京,大模型开发工程师,1.8-3.5万,"['数据治理', '数据架构', '数据建模']",1-3年,本科,全职,10,煤炭科学研究总院有限公司,国企,10000人以上,矿产/采掘,北京·朝阳·和平街,2024/6/15
北京,智能制造解决方案工程师,1-2万,"['人工智能', 'IT/互联网', '文字功底', 'MES、ERP、PLM', 'EAM、DNC、MDC']",经验不限,本科,全职,5,北京机械工业自动化研究所有限公司,国企,1000-9999人,工业自动化,北京·西城·德胜,2024/5/20
北京,AI人工智能高管,10-12万,,10年以上,博士,全职,1,北京超维联合贸易有限公司,民营,500-999人,贸易/进出口,北京·朝阳,2025/2/20
北京,人工智能算法工程师,1.5-3万,"['深度学习', '强化学习 ', '大模型算法', 'Transformer', '自然语言处理', '通信算法', 'PyTorch', 'Python', 'C++', 'C语言']",3-5年,本科,全职,1,航天恒星,国企,1000-9999人,通信/网络设备,北京·海淀,2025/3/6
北京,机器学习工程师,1.5-3万·15薪,"['机器学习', 'Python', '模式识别', '深度学习', 'TensorFlow', 'PyTorch', '模型剪枝量化']",1-3年,本科,全职,5,中芯未来(北京)科技有限公司,民营,20-99人,计算机软件,北京·海淀·马连洼,2024/10/21
北京,RPA项目经理/助理,9000-18000元,"['RPA', 'PMP', '项目管理']",1-3年,本科,全职,1,北京朗思智能科技有限公司,民营,20-99人,计算机软件,北京·西城·椿树,2025/3/11
北京,人工智能产品经理,1.5-2.5万,,5-10年,本科,全职,1,北京国网信通埃森哲信息技术有限公司,国企,300-499人,咨询服务,北京·西城·椿树,2025/4/1
北京,人工智能技术开发岗位,面议,,3-5年,硕士,全职,1,中国空间技术研究院,事业单位,10000人以上,学术/科研,北京·海淀,2025/3/7
北京,机器学习算法工程师,1.5-3万,,无经验,本科,全职,1,北京瑞鑫天算资产管理有限公司,民营,20-99人,基金,北京·海淀·曙光,2025/3/8
北京,【Deepseek人工智能软件赛道+双休收入高】,1.2-2.4万,['面销/陌拜'],1年以下,大专,全职,10,探迹科技,民营,1000-9999人,互联网,北京·朝阳,2025/3/18
北京,人工智能实习生,8000-9000元,"['智能客服训练', 'AI机器人训练']",1年以下,本科,全职,1,北京超维联合贸易有限公司,民营,500-999人,贸易/进出口,北京·朝阳·高碑店,2024/6/8
北京,人工智能开发工程师,2-2.5万,['深度学习'],1-3年,本科,全职,2,公安部第一研究所,事业单位,1000-9999人,学术/科研,北京·海淀·甘家口,2024/7/5
北京,人工智能技术研究员,1.4-1.8万·14薪,"['知识图谱', '自然语言处理', 'Java', 'Python']",经验不限,硕士,全职,1,同方知网（北京）技术有限公司,民营,1000-9999人,IT服务,北京·海淀,2025/2/26
北京,高级研究员（人工智能方向）,2-4万,"['主题模型', '逻辑回归']",经验不限,博士,全职,2,英视睿达,股份制企业,500-999人,IT服务,北京·丰台·看丹,2025/3/11
北京,人工智能研发工程师,1.4-2.7万,"['图像算法', 'PyTorch', 'TensorFlow', 'Python', 'C++', '中医']",无经验,博士,全职,1,博奥生物,国企,1000-9999人,医药制造,北京·昌平·史各庄,2024/12/9
北京,人工智能专家,2.2-4万·15薪,['图像识别产品'],5-10年,本科,全职,1,中车信息公司,国企,100-299人,计算机软件,北京·石景山·苹果园,2025/3/13
北京,人工智能技术研究员,1.4-1.8万·14薪,"['深度学习', 'Python']",1-3年,硕士,全职,999,同方知网（北京）技术有限公司,民营,1000-9999人,IT服务,北京,2025/3/21
北京,大模型应用开发工程师,1-2万,"['大模型算法', '深度学习', '多模态算法', 'Transformer', 'ResNet', 'GPT', '机器视觉', '自然语言处理', '知识图谱', 'PyTorch', 'TensorFlow', 'Python', 'ALIGN', 'LSTM']",1-3年,本科,全职,1,北京中科睿见科技有限公司,民营,20-99人,计算机软件,北京·海淀·海淀街道,2025/3/31
北京,大模型应用开发工程师,1-1.9万,"['大模型部署', 'Python', '爬虫', '数据处理', 'Pandas', 'NumPy']",3-5年,本科,全职,1,苏州安硕数科数据技术有限公司,上市公司,100-299人,IT服务,北京·昌平,2025/4/1
北京,人工智能课程设计（兼讲师）,1.5-1.8万,"['课程策划', '课程教授', '项目实训']",无经验,硕士,全职,1,软通迅腾(河北雄安)数据技术有限公司,合资,1000-9999人,学校/学历教育,北京·海淀·马连洼,2025/3/5
北京,科学数据和人工智能岗,2-2.4万,,1-3年,博士,全职,1,中国科学院高能物理研究所,事业单位,1000-9999人,学术/科研,北京·石景山·老山,2024/9/13
北京,算法工程师,9000-10000元,"['Python', 'C++', 'Java']",经验不限,硕士,全职,1,大唐软件技术股份有限公司,国企,500-999人,运营商/增值服务,北京·海淀,2025/3/31
北京,AI应用工程师,1.5-3万,"['ERP系统', '飞书系统', '智能客服', '知识图谱', '智能机器人', '智能问答', '大模型', 'CHATGPT', 'DEEPSEEK']",经验不限,大专,全职,2,北京中科博联科技集团股份有限公司,股份制企业,100-299人,专用设备制造,北京·海淀·中关村,2025/3/23
北京,纤维新材料数据分析与人工智能研究员,1.2-2.4万,"['数据科学', '计算机科学', '数据建模', 'R语言', '数据挖掘', '数据仓库']",1-3年,硕士,全职,1,通用技术高新材料集团有限公司,国企,1000-9999人,纺织业/服饰产品加工制造,北京·朝阳·八里庄,2024/11/18
北京,人工智能产品经理,1.6-2万,"['产品规划', '产品设计', '产品优化']",5-10年,本科,全职,5,苏州人瑞普惠人力资源服务有限公司,上市公司,500-999人,互联网,北京·昌平·十三陵,2025/3/25
北京,人工智能工程师,1-1.8万·15薪,['深度学习'],经验不限,硕士,全职,1,石化盈科,合资,1000-9999人,IT服务,北京·朝阳·朝外,2025/3/3
北京,资深大模型研究员（北京）,4-8万·14薪,,经验不限,博士,全职,1,浪潮集团,国企,10000人以上,IT服务,北京·海淀,2024/11/20
北京,人工智能研发工程师,2-3.5万,,3-5年,硕士,全职,3,煤炭科学技术研究院有限公司北京分公司,国企,500-999人,矿产/采掘,北京·朝阳·和平街,2025/3/17
北京,销售经理（软件人工智能）,7000-14000元,"['企业客户', '政府客户', '院校客户', '面销/陌拜', '网络销售']",1-3年,大专,全职,1,小哆智能科技(北京)有限公司,事业单位,20-99人,IT服务,北京·海淀·马连洼,2025/2/13
北京,人工智能AI-销售,6000-12000元,,1-3年,大专,全职,3,中育联教(北京)科技有限公司,民营,20-99人,IT服务,北京·石景山·苹果园,2024/6/20
北京,大模型应用算法工程师,1.5-2.5万,"['图像算法', '大模型算法', '自然语言处理', '机器视觉', 'Python', 'CLIP', '机器学习', 'K-means算法', 'GPT', 'XLNet', 'PyTorch', 'MXNet']",经验不限,本科,全职,1,志晟信息,上市公司,500-999人,IT服务,北京·海淀·北下关,2025/2/14
北京,机器人助理工程师,1-1.8万,"['机械装备', '电子焊接', '线束', '库存管理', '测试']",1-3年,大专,全职,1,北京源络科技有限公司,民营,20-99人,人工智能,北京·海淀·上地,2025/3/28
北京,人工智能算法工程师,1.5-3万,"['图像算法', '深度学习', '机器学习']",经验不限,博士,全职,1,中国科学院微电子研究所,事业单位,1000-9999人,电子/半导体/集成电路,北京·朝阳·亚运村,2024/6/17
北京,人工智能、大模型招聘（实习生）,230-250元/天,,无经验,硕士,实习,1,北京安科科技集团有限公司,民营,100-299人,石油/石化,北京·昌平·小汤山,2025/3/28
北京,机器视觉售前方案工程师,1-2万,"['机器人', '图像识别产品']",1-3年,本科,全职,4,北京玖瑞科技有限公司,民营,20-99人,人工智能,北京·海淀·上地,2025/3/13
北京,人工智能专家,2.3-3.5万,,3-5年,学历不限,全职,2,浪潮集团,国企,10000人以上,IT服务,北京·海淀·羊坊店,2025/2/12
北京,ai人工智能算法工程师,2.5-3万,['大模型算法'],经验不限,本科,全职,2,中电金信软件有限公司,国企,10000人以上,计算机软件,北京·丰台·看丹,2025/3/5
北京,人工智能工程师--北京,1-2万,"['大模型', '数字虚拟人', '智能机器人']",1-3年,本科,全职,3,内蒙古汇博科技工程有限公司,民营,20-99人,计算机硬件,北京·大兴·荣华街道,2025/2/14
