城市,岗位,薪酬,技能,工作经验,学历,职位类型,人数,公司名称,公司类型,公司规模,公司行业,地址,职位更新日期
北京,AI网络技术研究员2025SBZ05,1.5-1.7万,['人工智能'],3-5年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,GPU工程师,2.5-5万,,3-5年,硕士,全职,1,北京理工雷科空天信息技术有限公司,民营,100-299人,电子/半导体/集成电路,北京·海淀·曙光,2025/2/24
北京,算法工程师,1.8-2.5万,"['机器学习', '深度学习', '强化学习 ']",3-5年,硕士,全职,1,国网数字科技控股有限公司,国企,1000-9999人,电子商务,北京·东城·永定门外,2025/3/6
北京,联培科研专家（博士后科研工作站）,3-5.5万·14薪,"['文本分类', '信息抽取', '语义分析', '序列标注', '情感分析', '舆情分析', 'PyTorch', 'TensorFlow', '机器阅读理解', '机器翻译', '智能客服']",经验不限,博士,全职,1,纳通医疗集团,民营,1000-9999人,医疗设备/器械,北京·海淀·中关村,2025/2/25
北京,销售经理,1.5-2.2万,"['企业客户', '政府客户', 'KA大客户', '渠道销售']",3-5年,本科,全职,2,热数锦程(北京)科技有限公司,民营,20-99人,云计算/大数据,北京·朝阳·酒仙桥,2024/11/14
北京,算力算法客户响应经理,1.5-2万,,3-5年,本科,全职,1,嘉合通盈(北京)科技产业发展有限公司,民营,20-99人,人工智能,北京·朝阳,2025/1/10
北京,强化学习算法工程师,2.5-3.5万,"['PyTorch', 'Python', 'C++', '强化学习', '运动控制', 'DQN', 'PPO', 'TensorFlow']",经验不限,硕士,全职,1,浪潮集团,国企,10000人以上,IT服务,北京·海淀,2025/3/6
北京,算法工程师,2-3万,"['深度学习', '图像算法', '大模型算法', '自然语言处理', '搜索/推荐算法', 'Python', 'C++', 'Java']",经验不限,硕士,全职,1,北京智视数策科技发展有限公司,民营,20-99人,人工智能,北京·海淀·学院路,2024/10/12
北京,算法工程师,2-2.5万,['图像算法'],经验不限,硕士,全职,1,北京中科航天人才服务有限公司,国企,1000-9999人,汽车金融,北京·海淀·青龙桥,2025/4/1
北京,大模型算法工程师,1.4-2万,"['大模型算法', 'PyTorch', 'Java']",3-5年,本科,全职,1,北京华普亿方科技集团股份有限公司,股份制企业,300-499人,咨询服务,北京·西城·德胜,2024/12/30
北京,UE开发工程师,1.9-3.5万,"['C++', 'GAMEPLAY']",3-5年,本科,全职,3,北京华心维联网络科技有限公司,民营,500-999人,互联网,北京·朝阳·高碑店,2024/12/6
北京,软件实施工程师,5000-9000元,,1-3年,本科,全职,1,华夏天信(北京)机器人有限公司,民营,20-99人,人工智能,北京·大兴·观音寺,2024/10/25
北京,JAVA工程师,1.5-1.9万,['MySQL'],3-5年,本科,全职,1,北京经纬中天信息技术有限公司,民营,100-299人,计算机软件,北京·海淀·西北旺,2024/10/12
北京,算法工程师,1.1-1.9万,['大模型算法'],无经验,硕士,全职,4,中国司法大数据研究院有限公司,国企,100-299人,云计算/大数据,北京·石景山·苹果园,2025/2/18
北京,预测算法工程师,2.5-4.5万,"['深度学习', '机器学习', '随机森林', 'XGBoost', 'PyTorch', 'TensorFlow', 'Python', '时序预测模型']",3-5年,硕士,全职,1,北京今大禹环境技术股份有限公司,股份制企业,100-299人,环保,北京·海淀,2025/3/19
北京,UE云渲染研发工程师,2-4万,,5-10年,本科,全职,1,北京华心维联网络科技有限公司,民营,500-999人,互联网,北京·朝阳·高碑店,2024/8/19
北京,销售经理,7000-12000元,"['面销/陌拜', '渠道销售']",1-3年,本科,全职,3,北京云傲智能科技有限公司,民营,20人以下,人工智能,北京·通州·九棵树,2025/3/19
北京,三维重建算法工程师,1.5-2.5万,"['NERF', '3D GAUSSIAN', 'SMPL']",经验不限,硕士,全职,1,北京一轻科技集团有限公司,国企,500-999人,专业技术服务,北京·东城·体育馆路,2024/10/17
北京,机器视觉算法工程师,2.5-3.5万,"['机器学习', '图像算法', '深度学习']",3-5年,硕士,全职,1,天源迪科,民营,1000-9999人,计算机软件,北京·大兴·荣华街道,2024/12/16
北京,算力系统设施主管,2.2-3万,"['Linux', 'IT系统', 'CCIE', 'HCIE', 'IB组网经验的专家']",10年以上,本科,全职,1,嘉合通盈(北京)科技产业发展有限公司,民营,20-99人,人工智能,北京·朝阳,2025/2/24
北京,技术架构师,2.5-4万·14薪,"['Java', 'Python', '算法基础', '数据结构', 'Spring', '云计算架构', '大数据架构']",10年以上,本科,全职,1,探迹科技,民营,1000-9999人,互联网,北京·朝阳·呼家楼,2025/3/14
