city,position,salary_raw,skills,experience_raw,education_raw,job_type,headcount,company_name,company_address,updated_date,salary_avg,salary_outlier_flag,education_clean,experience_years,error_reason,is_deleted
上海,Java专家,7-10万,"['JavaScript', 'DEVOPS', 'Spring', 'Mybatis', 'Redis', 'Kafka', '微服务', '中间件', 'MySQL', 'PostgreSQL']",10年以上,硕士,全职,1,凌志软件,上海·普陀·长风新村,2025/3/19,85000.0,True,硕士,,薪酬太高,否
上海,卫星总体工程师,5-8万,"['设计管理', '技术管理', '卫星研制']",10年以上,硕士,全职,1,航天宏图信息技术股份有限公司,上海·普陀·长风新村,2025/1/16,65000.0,True,硕士,,薪酬太高,否
杭州,城市合伙人（AI人工智能）,5-10万,,经验不限,学历不限,全职,10,郑州中润人工智能科技有限公司,杭州·萧山·盈丰,2025/3/5,75000.0,True,学历不限,,薪酬太高,否
杭州,年薪60万，SLAM算法工程师，1431,5-5.5万,['VINS/VSLAM'],3-5年,硕士,全职,1,西安睿凡绅人力资源管理有限公司,杭州·余杭·余杭街道,2025/3/29,52500.0,True,硕士,4.0,薪酬太高,否
杭州,深度感知算法专家,5.5-8.5万,"['机器视觉', '智能驾驶', '导航算法', 'C++']",3-5年,硕士,全职,1,重庆慧猎信息科技有限公司,杭州·余杭·仓前,2025/4/1,70000.0,True,硕士,4.0,薪酬太高,否
杭州,投资合伙人,5-10万,,经验不限,学历不限,全职,6,郑州中润人工智能科技有限公司,杭州·萧山·盈丰,2025/2/8,75000.0,True,学历不限,,薪酬太高,否
杭州,年薪100万，深度感知算法专家，1445,8-8.5万,['深度感知算法'],5-10年,硕士,全职,1,西安睿凡绅人力资源管理有限公司,杭州·余杭·余杭街道,2025/3/31,82500.0,True,硕士,7.5,薪酬太高,否
杭州,深度感知算法专家,5.5-8.5万,"['深度学习', '机器视觉', '视觉算法', '深度估计算法']",3-5年,硕士,全职,1,重庆慧猎信息科技有限公司,杭州·余杭·余杭街道,2025/3/31,70000.0,True,硕士,4.0,薪酬太高,否
杭州,网络技术工程科学家,5-8万,,经验不限,博士,全职,1,杭州市滨江区浙工大人工智能创新研究院,杭州·滨江·长河,2025/3/12,65000.0,True,博士,,薪酬太高,否
杭州,强化学习算法工程师,4-8万,"['图像算法', '强化学习']",5-10年,硕士,全职,1,上海试试管理咨询有限公司,杭州·余杭·余杭街道,2025/3/5,60000.0,True,硕士,7.5,薪酬太高,否
杭州,人形机器人算法开发,4-8万,"['机器人算法', 'PyTorch', 'TensorFlow', 'C/C++', 'Python', '人形机器人']",经验不限,博士,全职,1,广州里工实业有限公司,杭州·临平·南苑,2025/3/18,60000.0,True,博士,,薪酬太高,否
