city,position,salary_raw,skills,experience_raw,education_raw,job_type,headcount,company_address,updated_date,salary_avg,salary_outlier_flag,education_clean,experience_years,company_id
北京,自然语言处理,1.4-2.1万·14薪,"['PyTorch', 'C++']",1-3年,本科,全职,1,北京·天通苑北,2025/3/7,17500.0,False,本科,2.0,26443
北京,AI应用工程师,1-2万·14薪,"['机器学习', '深度学习', 'Python']",1-3年,本科,全职,1,北京·海淀·甘家口,2025/3/31,15000.0,False,本科,2.0,26444
北京,人工智能研发工程师,2.5-5万,"['大模型算法', '深度学习', '机器学习']",1-3年,本科,全职,8,北京·海淀·学院路,2025/3/27,37500.0,False,本科,2.0,26445
北京,人工智能AI培训讲师,5000-10000元·13薪,"['课程策划', '课程教授', '项目实训']",3-5年,本科,全职,1,北京·朝阳·呼家楼,2025/3/29,7500.0,False,本科,4.0,26446
北京,数据分析师,7000-11000元,,经验不限,本科,全职,20,北京·朝阳·酒仙桥,2025/3/19,9000.0,False,本科,,26406
北京,AI Research,2.5-5万,,经验不限,硕士,全职,1,北京·朝阳·双井,2025/3/31,37500.0,False,硕士,,26447
北京,人工智能工程师/机器学习工程师/深度学习工程师,8000-15000元,"['机器视觉', '自然语言处理', '搜索/推荐算法', '聚类算法', '降维算法', '决策树', 'TensorFlow', 'PyTorch', 'Keras', 'Python']",经验不限,本科,全职,1,北京·海淀·北下关,2025/3/3,11500.0,False,本科,,26448
北京,人工智能专家-个贷不良资产方向,3-4万,['自然语言处理'],1-3年,本科,全职,3,北京·丰台·成寿寺,2025/2/24,35000.0,False,本科,2.0,26449
北京,机器学习应用工程师,1.4-2.8万·13薪,"['Java', 'Python', '深度学习算法', 'TensorFlow', 'PyTorch', '数据开发', '数据分析', '机器视觉', '时序数据机器学习']",3-5年,本科,全职,1,北京·顺义·空港,2025/3/31,20999.0,False,本科,4.0,26450
北京,AI工程师,2.5-5万·13薪,"['视频算法', 'Python', '视觉图像算法']",3-5年,本科,全职,1,北京·海淀·西三旗,2024/5/30,37500.0,False,本科,4.0,26451
北京,AI训练工程师,9000-15000元,"['深度学习', '机器学习', '自然语音处理', '项目实训', 'linux', 'Python']",5-10年,本科,全职,2,北京·海淀·紫竹院,2025/3/18,12000.0,False,本科,7.5,26452
